"","listing_id","minimum_nights.x","maximum_nights","listing_start_date","listing_end_date","min_price","max_price","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights.y","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1",9835,4,365,"2020-08-21","2021-08-20","$60.00","$60.00","Beautiful Room & House",33057,"Manju",NA,"Manningham",-37.77268,145.09213,"Private room",60,1,4,"2015-09-12",0.04,1,365
"2",10803,4,14,"2020-08-30","2020-08-30","$31.00","$31.00","Room in Cool Deco Apartment in Brunswick East",38901,"Lindsay",NA,"Moreland",-37.76651,144.98074,"Private room",31,4,145,"2020-04-08",1.57,1,1
"3",38271,4,14,"2020-09-13","2021-08-20","$99.00","$99.00","Melbourne - Old Trafford Apartment",164193,"Daryl & Dee",NA,"Casey",-38.05725,145.33936,"Entire home/apt",99,1,149,"2020-05-16",1.26,1,329
"4",43429,4,1125,"2020-09-08","2021-08-20","$99.00","$99.00","Tranquil Javanese-Style Apartment in Oakleigh East",189684,"Allan",NA,"Monash",-37.8996,145.11447,"Entire home/apt",99,2,210,"2020-03-29",1.78,2,347
"5",44082,4,730,"2020-08-22","2021-08-21","$79.00","$79.00","Queen Room in Beautiful House",193031,"Vicki",NA,"Frankston",-38.14932,145.14157,"Private room",79,2,51,"2020-06-22",0.44,6,365
"6",51592,NA,NA,"2020-08-20","2021-08-21","$249.00","$249.00","Central City Warehouse Apartment",190879,"Michelle",NA,"Melbourne",-37.81486,144.96267,"Entire home/apt",249,2,259,"2020-08-02",2.24,1,2
"7",51817,2,1125,"2021-01-01","2021-08-20","$89.00","$89.00","Stay in lovely bayside Elwood!",235341,"Bree",NA,"Port Phillip",-37.87629,144.98964,"Entire home/apt",89,2,73,"2020-03-14",0.66,1,232
"8",67211,4,30,"2020-08-21","2021-08-20","$45.00","$45.00","Kew Tranquility, Melbourne",326880,"Kate",NA,"Boroondara",-37.8037,145.03396,"Private room",45,2,172,"2020-03-23",1.48,1,365
"9",69421,4,90,"2020-08-21","2021-08-20","$180.00","$180.00","Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,"Wendy",NA,"Yarra",-37.78784,145.00548,"Entire home/apt",180,2,1,"2016-01-10",0.02,1,365
"10",70328,4,7,"2020-08-21","2021-08-20","$70.00","$80.00","AWESOME BEACH HOUSE BnB -",356006,"Raewyn",NA,"Kingston",-38.00546,145.08541,"Private room",70,1,131,"2020-06-28",1.14,1,291
"11",72576,4,20,"2020-09-01","2020-11-18","$120.00","$120.00","Stunning Fitzroy +private bathroom 'Little George'",376675,"Ramona",NA,"Yarra",-37.80689,144.97946,"Private room",120,2,529,"2020-06-28",4.63,2,79
"12",74324,14,1125,"2020-09-15","2021-08-19","$237.00","$365.00","Tamerlane: Architect-designed luxury living",390761,"Matt",NA,"Yarra",-37.80275,144.97616,"Entire home/apt",237,14,67,"2018-03-26",1.05,3,339
"13",74959,4,31,"2020-09-01","2021-08-20","$90.00","$90.00","Blissful Beachside Port Melbourne Warehouse",395864,"Linda",NA,"Port Phillip",-37.84098,144.9364,"Private room",90,2,108,"2020-01-26",0.96,1,338
"14",78143,4,1125,"2020-08-23","2021-08-21","$85.00","$87.00","2 bedrooms-ideal for friends/family",419767,"Julie",NA,"Stonnington",-37.8531,144.99012,"Private room",85,2,146,"2020-03-16",1.3,1,364
"15",86369,28,200,"2020-09-15","2021-05-17","$100.00","$85.00","Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,"Fiona",NA,"Glen Eira",-37.86971,145.00662,"Entire home/apt",89,28,10,"2019-12-01",0.34,1,0
"16",86422,4,400,"2020-08-28","2021-08-20","$97.00","$97.00","2 Bright Rooms own Bathrm nr train",473732,"Angela",NA,"Whitehorse",-37.82522,145.19781,"Private room",97,1,55,"2017-10-07",0.48,1,358
"17",108032,4,1125,"2020-08-20","2021-08-19","$140.00","$140.00","Studio apartment on Collins Street",559227,"Malcolm",NA,"Melbourne",-37.81595,144.96606,"Entire home/apt",140,2,254,"2020-03-24",2.27,1,351
"18",111001,5,1125,"2020-08-21","2020-11-18","$45.00","$65.00","Double Guest Room Ensuited",569413,"Dina",NA,"Port Phillip",-37.83739,144.96637,"Private room",65,5,40,"2020-08-17",1.8,24,0
"19",120487,4,365,"2020-08-21","2021-08-20","$93.00","$96.00","Garden Bungalow with the Possums",606393,"Barbara",NA,"Kingston",-37.99031,145.07744,"Entire home/apt",94,3,81,"2020-02-29",0.75,2,278
"20",133617,4,1125,"2020-08-22","2021-02-16","$90.00","$90.00","Life style on the Beach 豪华的海边生活",646383,"Hannah",NA,"Port Phillip",-37.84317,144.94031,"Private room",90,3,14,"2020-03-01",0.13,2,179
"21",144236,4,730,"2020-08-21","2021-08-20","$245.00","$325.00","Lux Apartment, Australian Open",699180,"Peter",NA,"Melbourne",-37.84499,144.97929,"Private room",268,2,0,"",NA,1,365
"22",150729,4,20,"2020-08-20","2020-11-18","$100.00","$90.00","Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",376675,"Ramona",NA,"Yarra",-37.80508,144.97942,"Private room",90,3,579,"2020-03-19",5.24,2,0
"23",157427,4,28,"2020-08-21","2021-08-20","$150.00","$179.00","Stone's Throw Studio, Belgrave",717024,"Margaret",NA,"Yarra Ranges",-37.90605,145.35069,"Entire home/apt",167,1,36,"2020-07-10",0.34,2,364
"24",161033,4,14,"2020-08-24","2021-08-20","$95.00","$95.00","Healesville Yarra Valley Cottage",770883,"Karen",NA,"Yarra Ranges",-37.63282,145.49766,"Entire home/apt",95,2,237,"2020-07-04",2.17,1,307
"25",161404,5,1125,"2020-10-21","2020-11-18","$98.00","$98.00","Handy Location, 5Beds, 3bath, 10km to CBD, Austin",772011,"Alice",NA,"Banyule",-37.75651,145.03991,"Entire home/apt",98,5,32,"2020-03-15",0.91,2,29
"26",167067,4,730,"2021-01-01","2021-08-20","$45.00","$45.00","Convenient Spot in Mt Waverley",796181,"John",NA,"Monash",-37.87146,145.12984,"Private room",45,4,72,"2020-03-27",0.66,1,232
"27",189128,1,30,"2020-09-21","2021-02-16","$60.00","$70.00","Double Room, Private Bathroom, Breakfast & Air Con",668611,"Toni",NA,"Boroondara",-37.8176,145.05913,"Private room",63,1,92,"2020-02-29",0.98,1,149
"28",206865,4,365,"2020-08-20","2021-08-19","$130.00","$139.00","Luxury Private St.Kilda Apartment",449064,"Lisa",NA,"Port Phillip",-37.85961,144.97712,"Entire home/apt",130,3,77,"2016-09-29",0.71,1,365
"29",209073,7,1125,"2020-11-01","2021-08-19","$180.00","$180.00","Luxury Melbourne City Apartment",1029900,"Oscar",NA,"Melbourne",-37.8171,144.97676,"Entire home/apt",180,7,21,"2020-01-25",0.2,1,292
"30",210568,4,1095,"2020-08-22","2020-11-18","$58.00","$65.00","Carnarvon, Armadale/St KldaE/Caulfl",1038237,"Ian",NA,"Glen Eira",-37.86898,145.02775,"Private room",60,3,22,"2019-09-26",0.21,2,74
"31",213348,4,760,"2020-08-21","2021-08-21","$90.00","$90.00","Large room in quiet Victorian home",689924,"Adrian",NA,"Port Phillip",-37.85874,144.98633,"Private room",90,3,5,"2018-07-27",0.11,1,0
"32",230790,4,28,"2020-08-21","2021-08-20","$550.00","$600.00","Clarelee - Belgrave Accommodation",1197236,"Clarelee",NA,"Yarra Ranges",-37.90514,145.35261,"Entire home/apt",564,2,76,"2020-03-15",1.05,1,362
"33",232088,3,1125,"2020-11-01","2021-08-20","$129.00","$99.00","VERY QUIET  2 Bedrooms  2 Bathrooms BIG Kitchen",1214242,"Mal",NA,"Moreland",-37.71096,144.9518,"Entire home/apt",99,3,21,"2020-03-08",0.2,8,289
"34",240410,2,760,"2020-09-14","2021-08-21","$135.00","$135.00","Beautifully Appointed Apt - Central",1260586,"Neil",NA,"Melbourne",-37.80507,144.9519,"Entire home/apt",135,2,76,"2019-12-16",0.77,1,342
"35",241263,1,1125,"2020-10-01","2021-08-20","$90.00","$90.00","Inner city apartment with amazing views",1345462,"Gloria",NA,"Melbourne",-37.78128,144.95618,"Private room",85,1,228,"2020-03-21",2.19,1,324
"36",244872,4,760,"2020-08-21","2021-08-20","$73.00","$73.00","Cool spot near chapel st!",605990,"Jenny",NA,"Stonnington",-37.85077,145.01013,"Private room",73,1,0,"",NA,1,365
"37",244952,3,1125,"2020-10-01","2021-08-19","$100.00","$96.00","Treehouse apartment in Fitzroy",287730,"Rebecca",NA,"Yarra",-37.80403,144.97908,"Entire home/apt",89,3,281,"2020-03-13",2.62,1,323
"38",247140,4,60,"2020-08-20","2021-08-19","$225.00","$225.00","Self Contained Apartment (CBD Edge)",1296115,"Fiona",NA,"Melbourne",-37.817,144.9767,"Entire home/apt",225,3,81,"2020-03-16",0.76,1,365
"39",248235,4,30,"2021-01-04","2021-08-20","$460.00","$550.00","Gorgeous home with pool. Central location!!",1300846,"Ayelet",NA,"Glen Eira",-37.86392,145.01737,"Entire home/apt",460,4,12,"2020-01-14",0.13,1,124
"40",251354,4,36,"2020-08-22","2020-11-18","$180.00","$250.00","Inner city Warehouse Garden of Eden",1318256,"Elana",NA,"Stonnington",-37.85795,145.02439,"Entire home/apt",200,1,7,"2017-01-23",0.07,1,89
"41",256186,6,365,"2020-10-01","2021-08-19","$133.00","$150.00","Collingwood 2 bedrm Warehouse Apt",1344893,"Hoang And Michael",NA,"Yarra",-37.80182,144.98274,"Entire home/apt",140,6,155,"2020-03-17",1.48,1,313
"42",257149,4,365,"2020-08-22","2021-08-20","$129.00","$129.00","Sunny 2BR Melbourne flat 7kms CBD",504534,"Lanie",NA,"Darebin",-37.76294,144.9964,"Entire home/apt",129,2,122,"2020-03-15",1.16,1,364
"43",257915,4,365,"2020-08-20","2021-08-19","$700.00","$750.00","Central Apartments in Melbourne",569413,"Dina",NA,"Melbourne",-37.82525,144.96145,"Entire home/apt",714,2,51,"2020-02-23",0.49,24,365
"44",263871,14,900,"2020-08-20","2021-08-19","$124.00","$150.00","In The Heart Of The City- Melbourne",1384456,"Eliisa",NA,"Melbourne",-37.81695,144.96295,"Entire home/apt",131,14,41,"2020-03-31",0.45,1,365
"45",268525,5,1125,"2020-08-22","2021-08-20","$32.00","$60.00","Home 20mins (CBD) near Box Hill",1179603,"Anita",NA,"Whitehorse",-37.8129,145.14081,"Private room",41,5,0,"",NA,1,364
"46",268620,4,760,"2020-08-21","2021-08-20","$72.00","$72.00","nice room",1407948,"Richard",NA,"Melton",-37.73994,144.73881,"Private room",72,1,0,"",NA,1,365
"47",268849,4,1125,"2020-08-29","2020-12-01","$100.00","$145.00","Unique, Intimately Styled South Yarra Sanctuary",1408673,"Little Journey",NA,"Stonnington",-37.83692,144.99285,"Entire home/apt",84,1,520,"2020-07-21",4.91,2,5
"48",277605,4,365,"2020-08-24","2021-08-20","$198.00","$295.00","Angelus Retreat @ Mount Dandenong",1448773,"Margaret Jiin",NA,"Yarra Ranges",-37.9056,145.39525,"Entire home/apt",241,2,12,"2020-07-06",0.12,2,362
"49",283257,4,59,"2020-08-21","2021-05-17","$140.00","$140.00","sunlit studio down a quiet laneway",1475619,"Lulu",NA,"Yarra",-37.8044,144.98213,"Entire home/apt",140,3,129,"2020-03-15",1.83,1,154
"50",284210,5,66,"2020-08-20","2020-08-22","$139.00","$245.00","Fitzroyalty - stylish and central",1480426,"Kate",NA,"Yarra",-37.7985,144.97883,"Entire home/apt",245,2,34,"2020-03-15",0.44,1,2
"51",289467,4,365,"2020-08-21","2021-08-20","$250.00","$300.00","The Suite @ Angelus Retreat",1448773,"Margaret Jiin",NA,"Yarra Ranges",-37.90546,145.39447,"Entire home/apt",264,2,4,"2019-06-09",0.06,2,365
"52",300679,2,5,"2020-11-15","2021-08-21","$33.00","$33.00","Comfy room in Oakleigh South Melbourne",1505279,"Julie",NA,"Kingston",-37.94,145.09679,"Private room",33,2,70,"2020-03-16",0.85,1,0
"53",307615,4,1125,"2020-08-20","2021-08-19","$75.00","$75.00","Queen BR + Private Bathroom in Huge CBD Apartment",1582716,"Sharyn",NA,"Melbourne",-37.80847,144.96606,"Private room",75,1,106,"2020-02-19",1.01,1,364
"54",310594,4,1125,"2020-08-21","2020-11-18","$135.00","$135.00","Cosy nest in vibrant eclectic area",1597828,"Bridget",NA,"Yarra",-37.80523,144.99518,"Entire home/apt",135,2,175,"2020-07-16",1.68,1,90
"55",313648,5,720,"2020-12-21","2021-08-19","$110.00","$110.00","(1) Stylish, East Melb 1bed apt",1612516,"Haydn",NA,"Melbourne",-37.81362,144.98665,"Entire home/apt",100,5,47,"2019-12-19",0.46,5,242
"56",317239,4,30,"2020-08-21","2021-08-20","$95.00","$95.00","Inner City Home-6 stops by train to Melbourne CBD",1628602,"Jacqueline",NA,"Hobsons Bay",-37.82989,144.87123,"Private room",95,3,0,"",NA,1,365
"57",323280,4,730365,"2020-08-21","2021-08-20","$64.00","$67.00","Classic Victorian Armadale Home :) Victorian House",1608157,"Fay",NA,"Stonnington",-37.86171,145.02103,"Private room",65,1,46,"2019-01-23",0.46,3,365
"58",331605,4,365,"2020-08-20","2021-08-19","$321.00","$457.00","3 Bedroom Apartment MT111",569413,"Dina",NA,"Melbourne",-37.82348,144.9618,"Entire home/apt",362,1,87,"2020-06-01",0.9,24,359
"59",334678,4,1125,"2020-09-05","2021-08-21","$75.00","$75.00","Room + Own Bathroom - 7km from city",1704562,"Kate",NA,"Maribyrnong",-37.80089,144.89165,"Private room",75,2,7,"2020-03-12",0.37,1,1
"60",334891,4,365,"2020-08-21","2021-08-20","$85.00","$85.00","Attractive room in leafy Deepdene",1705701,"Veruschka",NA,"Boroondara",-37.81285,145.06378,"Private room",85,1,4,"2019-02-23",0.06,1,365
"61",363060,4,330,"2020-08-21","2021-08-20","$70.00","$70.00","SUNLIT Kitchen/Vegie Garden/CLEAN",1835097,"Rovielle",NA,"Wyndham",-37.84545,144.71638,"Private room",70,3,0,"",NA,1,365
"62",363278,4,1125,"2020-08-20","2021-08-19","$70.00","$70.00","Fitzroy: Tiny stone cottage",1835785,"Alan",NA,"Yarra",-37.80283,144.98305,"Private room",70,1,260,"2020-03-19",2.64,1,357
"63",381690,30,1125,"2020-08-20","2021-08-19","$104.00","$104.00","Renovated Art Deco fully furnished",1914257,"Shelly",NA,"Port Phillip",-37.86393,144.99824,"Entire home/apt",104,30,37,"2020-08-01",0.39,1,365
"64",386252,30,365,"2020-08-21","2021-08-20","$100.00","$100.00","Room for rent, townhouse in Kew",381584,"F",NA,"Boroondara",-37.80883,145.03969,"Shared room",100,30,0,"",NA,1,365
"65",394600,4,1125,"2020-08-30","2021-08-20","$107.00","$107.00","Quiet one-bedroom apartment",485320,"Julie",NA,"Moreland",-37.7691,144.95304,"Entire home/apt",107,2,230,"2020-08-08",2.27,1,356
"66",403876,5,90,"2020-10-26","2021-02-16","$110.00","$115.00","Luxurious Self Contained Pool House",2014143,"Abby",NA,"Stonnington",-37.84167,145.03505,"Entire home/apt",110,5,237,"2020-07-10",2.47,1,108
"67",405515,3,1125,"2020-11-01","2021-08-20","$89.00","$89.00","Apartment: Big Kitchen 1 Dble bed & 2 bunks & wifi",1214242,"Mal",NA,"Moreland",-37.70988,144.95131,"Entire home/apt",99,3,5,"2018-09-26",0.05,8,282
"68",406997,14,1125,"2020-10-01","2020-11-18","$49.00","$49.00","Spacious Rm for you or couple 2/43",2027601,"Bill",NA,"Stonnington",-37.88426,145.06133,"Private room",49,14,60,"2020-04-30",0.59,10,49
"69",432113,6,1125,"2020-10-01","2021-08-19","$150.00","$150.00","Split Level City Centre Apartment + free parking",2148869,"Marian And Alan",NA,"Melbourne",-37.82761,144.96765,"Entire home/apt",150,6,108,"2020-03-24",1.07,1,316
"70",433779,14,1125,"2020-08-23","2021-02-16","$29.00","$45.00","Room with private courtyard 7",2027601,"Bill",NA,"Stonnington",-37.88427,145.06139,"Private room",31,14,52,"2020-07-17",0.53,10,178
"71",438899,2,1125,"2020-10-01","2021-08-19","$225.00","$225.00","Uber-Cool Loft-South Melbourne-Wkly&Mthly Pricing",1777499,"Richard",NA,"Port Phillip",-37.83359,144.9648,"Entire home/apt",225,2,193,"2020-05-24",2.01,2,321
"72",448025,4,1125,"2020-08-21","2021-02-17","$45.00","$47.00","Straw and Earth room in Eco home",2225077,"Paul",NA,"Moreland",-37.7369,144.93298,"Private room",45,1,25,"2019-06-08",0.3,5,180
"73",449585,4,1125,"2020-09-01","2021-08-20","$100.00","$100.00","Need Luxury Homebase in Melbourne 1",2232579,"Nola",NA,"Boroondara",-37.80491,145.05325,"Private room",100,1,29,"2018-03-03",0.32,3,354
"74",456950,5,1125,"2020-08-20","2021-08-19","$291.00","$291.00","St Kilda Bay Views",2271938,"Harry",NA,"Port Phillip",-37.85397,144.98198,"Entire home/apt",291,5,3,"2016-02-15",0.04,1,365
"75",464528,12,5,"2020-08-21","2021-08-20","$366.00","$366.00","BOUTIQUE STAYS – Zinc Views - 501",760849,"Boutique Stays Accommodation Group",NA,"Port Phillip",-37.84318,144.94016,"Entire home/apt",366,3,4,"2019-02-20",0.07,72,337
"76",464612,NA,NA,"2020-08-21","2021-08-21","$46.00","$62.00","Point Cook Homestay with Private Bathroom",2309055,"Serena And KC",NA,"Wyndham",-37.90042,144.72496,"Private room",46,3,62,"2020-03-20",0.63,1,1
"77",466494,7,5,"2020-08-20","2021-08-19","$594.00","$594.00","BOUTIQUE STAYS – Victorian Vogue",760849,"Boutique Stays Accommodation Group",NA,"Yarra",-37.81788,145.00865,"Entire home/apt",594,3,7,"2020-01-27",0.12,72,365
"78",466732,12,28,"2020-08-21","2021-08-20","$337.00","$337.00","BOUTIQUE STAYS – Lalique",760849,"Boutique Stays Accommodation Group",NA,"Port Phillip",-37.88759,144.98651,"Entire home/apt",337,3,3,"2019-02-05",0.14,72,365
"79",479281,12,5,"2020-08-21","2021-08-20","$402.00","$402.00","BOUTIQUE STAYS – Brighton Rose",760849,"Boutique Stays Accommodation Group",NA,"Bayside",-37.90925,144.98976,"Entire home/apt",402,3,4,"2020-02-29",0.11,72,365
"80",479333,12,28,"2020-08-21","2021-08-20","$402.00","$402.00","BOUTIQUE STAYS – Clifton Park",760849,"Boutique Stays Accommodation Group",NA,"Yarra",-37.78706,145.00282,"Entire home/apt",402,3,13,"2020-02-01",0.2,72,365
"81",479472,12,28,"2020-08-21","2021-08-20","$366.00","$366.00","BOUTIQUE STAYS – Sandyside 2",760849,"Boutique Stays Accommodation Group",NA,"Bayside",-37.95301,145.01149,"Entire home/apt",366,3,6,"2019-12-26",0.09,72,365
"82",479736,4,1125,"2020-10-31","2021-08-20","$109.00","$372.00","Belsize Garden Apartment St Kilda",223256,"Barbara",NA,"Port Phillip",-37.86947,144.99643,"Entire home/apt",109,1,61,"2020-07-26",0.66,1,294
"83",483719,4,365,"2020-08-21","2021-08-20","$60.00","$60.00","Quiet Studio Next to Train Station",9082,"Dennis",NA,"Banyule",-37.74209,145.06541,"Private room",60,2,27,"2019-12-26",0.28,1,365
"84",492022,12,5,"2020-08-21","2021-08-20","$402.00","$402.00","BOUTIQUE STAYS – Sandy Haven A",760849,"Boutique Stays Accommodation Group",NA,"Bayside",-37.94771,145.00322,"Entire home/apt",402,3,6,"2020-01-27",0.25,72,365
